GameIndex,player_color,player_elo,opponent_elo,player_result,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,count_1,row_number_1,count_2,row_number_2,row_number
205961,White,1455,1520,-1,150.3,150.3,19.51,15.25,15.25,14.94,15.11,14.25,14.25,14.25,14.25,150.3,150.3,19.48,19.48,18.67,16.74,18.02,18.02,15.1,15.1,17.96,17.79,17.79,19.94,14.37,14.37,14.37,15.05,15.05,14.45,13.61,13.61,14.37,15.74,13.94,13.94,13.82,14.29,13.99,14.79,14.32,14.48,14.47,14.47,14.85,12.38,14.11,14.2,14.2,14.44,12.4,1.67,1.67,-0.19,0.19,0.81,0.15,1.0,0.15,0.3,705,179430,705,179430,179430
209227,White,1450,1499,1,10.48,10.48,10.48,9.91,9.91,9.91,9.91,9.91,9.91,9.91,9.91,9.91,9.37,8.92,9.04,4.95,9.03,9.03,5.14,5.14,9.29,9.29,9.29,4.79,4.79,4.89,4.89,4.31,4.31,4.93,4.93,4.93,4.93,1.55,1.55,1.59,1.59,0.32,0.98,0.98,0.36,1.18,0.52,0.34,0.88,0.88,1.58,1.21,1.45,1.45,1.49,1.45,1.62,1.23,1.24,1.29,1.29,0.27,0.27,0.25,0.37,705,179430,705,179430,179430
226703,Black,1475,1717,-1,-11.08,-11.08,-6.78,-6.78,-6.77,-6.59,-6.59,-11.75,-6.44,-6.63,-6.94,-6.29,-6.11,-5.77,-5.77,-5.45,-5.93,-5.48,-5.51,-5.41,-5.18,-5.03,-5.59,-5.23,-4.95,-4.95,-5.09,-5.07,-5.01,-5.23,-2.6,-2.6,-5.21,-5.21,-5.16,-5.07,-2.37,-1.49,-1.49,-2.56,-2.87,-0.8,-0.8,-0.8,-2.31,0.84,-1.53,-1.53,-1.1,-0.86,0.09,0.09,0.28,-1.04,0.08,0.08,-0.18,-0.18,0.13,0.0,-0.26,705,179430,705,179430,179430
245739,Black,1502,1478,1,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.37,-0.34,-0.29,-0.45,-0.37,0.01,0.2,-0.22,0.45,0.4,0.36,-0.04,0.31,0.39,0.46,0.45,0.21,-0.09,-0.03,0.0,705,179430,705,179430,179430
258118,White,1519,1560,-1,6.47,6.47,7.94,6.17,6.17,6.18,6.39,6.27,6.0,6.23,6.23,6.08,6.61,6.47,6.43,6.67,6.16,6.1,6.07,5.96,5.91,5.91,5.7,6.26,6.26,6.19,6.22,6.14,6.14,6.06,6.06,5.95,7.01,6.53,6.45,6.45,6.88,6.88,5.75,6.51,5.11,5.11,5.11,5.11,6.42,0.0,5.81,-0.21,5.11,5.22,-0.19,-0.11,-0.29,5.01,0.18,0.13,0.02,0.02,-0.14,-0.17,-0.17,705,179430,705,179430,179430
267971,Black,1515,1532,-1,-12.9,-12.9,-11.54,-11.54,-11.54,-6.55,-6.55,-6.72,-6.45,-5.6,-5.6,-5.46,-5.46,-5.05,-5.05,-5.05,-5.05,-5.05,-5.44,-5.44,-5.44,-199.55,-199.55,-199.55,-12.65,-11.2,-6.9,-6.9,-6.44,-5.43,-4.22,-5.28,-5.28,-5.72,-4.31,-4.31,-2.75,-5.26,-5.26,-0.84,-0.84,0.29,0.29,-5.07,-5.07,-5.31,0.24,-4.19,-4.14,-1.03,-0.97,0.85,0.61,-0.1,0.13,0.26,0.71,0.49,0.07,0.27,0.36,705,179430,705,179430,179430
315447,Black,1547,1561,-1,0.58,0.58,0.53,1.78,1.78,1.78,-0.13,1.51,1.35,1.35,1.6,1.6,1.25,1.61,1.24,1.57,1.82,1.82,1.45,1.69,1.69,1.53,1.53,1.7,1.7,1.25,1.68,1.69,1.35,0.26,1.32,1.32,1.27,1.42,-0.51,0.02,0.02,-1.33,-1.33,-1.33,-0.23,0.0,0.0,-0.54,-0.29,-0.29,-0.3,-0.03,-0.15,-0.06,-0.02,-0.12,-0.09,-0.26,-0.16,-0.18,-0.27,-0.38,0.0,0.0,0.36,705,179430,705,179430,179430
335667,Black,1541,1529,-1,-12.95,-12.95,-12.95,-6.44,-12.59,-7.17,-6.92,-7.68,-6.1,-6.1,-7.06,-6.52,-7.18,-6.62,-6.59,-6.08,-5.76,-5.76,-5.76,-5.41,-5.36,-5.36,-5.16,-4.95,-5.61,-0.73,-0.73,-0.8,-0.8,-0.64,-0.64,-1.49,-1.01,-1.11,-1.09,-3.0,-0.98,-1.51,-0.87,-0.87,-1.09,-2.01,-1.04,-1.04,-1.3,-1.3,-0.49,-1.49,-1.49,-1.18,-0.9,-0.59,0.51,0.3,0.27,0.27,0.26,0.05,0.28,0.3,0.0,705,179430,705,179430,179430
451104,Black,1519,1501,1,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-3.67,-3.67,-3.85,-3.85,-5.06,-5.06,-4.32,-3.14,-3.14,-1.11,-1.11,-0.45,-0.45,-199.55,-5.06,-0.08,-6.55,-6.55,-0.21,-8.23,-0.3,-0.47,-0.47,-3.18,-1.27,-0.15,0.0,0.0,-1.17,-1.1,-0.19,-0.42,-1.43,-0.24,705,179430,705,179430,179430
453381,White,1524,1526,-1,7.31,7.31,0.0,0.0,-0.52,-0.52,-0.5,-0.5,-0.5,-0.5,7.32,-0.28,0.0,0.0,0.09,-0.47,-0.36,-0.03,-0.24,-0.43,-0.34,-0.84,-0.74,-0.74,-1.92,-1.7,-1.7,-1.7,-1.53,-1.53,-1.53,-1.53,-1.89,-1.38,-1.38,-1.48,-1.48,-1.5,-1.5,-2.65,-2.42,-0.5,1.46,1.46,1.51,0.36,0.08,0.1,0.1,-0.12,-0.12,0.33,0.33,0.54,0.36,0.46,0.34,0.27,0.62,0.04,0.36,705,179430,705,179430,179430
464417,Black,1524,1406,1,-5.8,-5.8,-6.37,-5.93,-5.72,-6.1,-4.44,-4.44,-4.25,-4.25,-4.43,-4.49,-4.49,-4.49,-4.18,-4.21,-4.21,-3.88,-4.28,-4.8,-4.45,-4.45,-4.45,-3.66,-3.66,-3.57,-4.24,-4.24,-3.4,-3.71,-3.97,-3.97,-1.97,-3.71,-3.66,-2.08,-2.08,-1.97,-1.97,-1.97,-2.09,-2.09,-2.36,-1.93,-1.93,-2.35,-1.2,-1.2,-2.19,-2.19,-1.1,-1.1,-0.62,-1.22,-0.76,-1.48,-0.98,-0.87,-0.83,-0.7,0.36,705,179430,705,179430,179430
468720,Black,1535,1588,-1,-5.05,-4.99,-4.99,-2.49,-2.49,-2.83,-2.83,-2.33,-6.6,-6.6,-6.6,-6.6,-4.91,-4.91,-5.13,-2.77,-2.65,-2.41,-2.61,-2.61,-2.83,-2.54,-2.31,-2.31,-2.3,-2.94,-2.68,-4.17,-3.09,-4.22,-4.42,-2.42,-2.42,-2.42,-3.45,-2.5,-2.5,-2.74,-2.52,-2.52,-1.78,-2.22,-2.22,-1.55,-1.55,-1.6,-1.42,-1.55,-1.42,-1.42,-1.55,-1.03,0.0,0.0,0.19,-0.28,0.01,0.01,0.14,0.0,0.36,705,179430,705,179430,179430
479754,Black,1530,1517,-1,-0.21,-0.21,0.02,0.02,-2.95,0.0,0.0,-0.02,0.0,0.44,0.44,0.07,0.59,0.7,-0.09,0.02,-0.08,-0.08,-0.09,-0.15,-0.13,-0.28,-0.12,-0.34,-0.32,-0.11,-0.25,-0.36,-0.43,-1.53,-0.28,-0.74,-0.33,-1.53,-1.53,-1.27,-0.89,-0.89,-0.77,-0.77,-0.73,-0.73,-0.71,-0.33,-0.33,-0.15,-0.18,-0.18,-0.1,-0.1,-0.12,-1.04,-1.04,-0.77,-0.79,0.0,0.0,-0.36,0.0,0.36,0.36,705,179430,705,179430,179430
489548,White,1536,1518,1,19.31,19.31,19.31,19.31,19.31,19.31,19.31,19.31,19.31,19.31,19.31,19.31,19.31,19.31,19.31,19.31,19.31,10.56,10.56,9.5,9.5,9.5,7.5,7.5,7.5,7.5,6.32,6.32,6.32,6.36,6.36,6.18,6.18,6.25,150.3,150.3,150.3,6.44,16.58,9.95,5.91,150.3,6.03,7.58,7.58,5.05,6.55,6.55,5.56,5.56,5.58,9.12,6.31,6.31,6.29,6.26,5.9,5.22,1.99,2.31,2.13,705,179430,705,179430,179430
775684,Black,1528,1533,1,-6.39,-6.39,-6.39,-6.39,-6.39,-6.39,-6.39,-6.39,-5.97,-5.97,-6.23,-6.23,-6.23,-6.23,-6.23,-6.23,-6.11,-6.11,-6.02,-5.77,-6.47,-6.14,-6.42,-6.42,-6.1,-6.1,-5.57,-5.57,-5.57,-5.55,-5.09,-5.52,-4.64,-4.64,-1.37,-5.28,-1.45,-1.45,-1.38,-4.91,-4.86,-1.46,-1.46,-1.46,-1.38,-1.17,-1.47,-1.25,-0.86,0.2,-1.14,0.28,0.28,0.75,-0.91,0.12,0.14,0.39,0.4,0.0,0.0,705,179430,705,179430,179430
785802,Black,1528,1528,1,-6.23,-6.23,-7.53,-7.85,-7.85,-3.16,-3.16,-3.16,-3.3,-3.3,-3.27,-3.27,-3.76,-3.76,-3.76,-0.65,-3.54,-3.54,-2.34,-2.34,-3.98,-1.25,-1.79,-3.49,-3.49,-3.42,0.52,0.52,-0.34,-2.5,-2.5,-0.68,-2.09,-2.09,-0.92,-1.75,-0.87,-0.87,-0.29,-1.93,-1.93,-1.42,-1.42,-1.42,-1.49,-1.49,-0.27,-0.32,-0.32,-0.43,-0.43,0.0,0.2,0.12,0.12,0.01,0.48,0.05,0.25,0.23,0.0,705,179430,705,179430,179430
9069945,White,1415,1442,1,150.3,150.3,150.3,150.3,150.3,150.3,150.3,150.3,150.3,10.64,10.64,8.06,8.06,8.8,7.7,7.41,8.02,7.29,7.73,7.49,7.29,7.29,7.29,7.57,7.37,10.29,9.5,7.53,7.2,7.2,7.29,7.29,7.41,7.41,7.2,7.29,7.29,7.29,7.61,7.61,8.35,8.47,8.47,9.98,9.98,9.37,9.37,6.13,6.13,1.23,4.77,4.35,4.35,0.72,0.72,1.13,1.13,-0.16,0.34,1.57,1.57,705,179430,705,179430,179430
11092556,Black,1406,1444,-1,-11.42,-8.7,-5.57,-5.57,-5.33,-5.33,-5.43,-12.69,-8.2,-8.2,-4.43,-5.55,-5.49,-4.25,-3.43,-4.39,-4.74,-4.74,-2.83,-2.83,-2.83,-3.45,-2.45,-3.59,-3.59,-3.15,-3.15,-2.25,-3.54,-3.27,-3.27,-2.28,-3.07,-2.58,-2.5,-2.5,-1.57,-1.57,-1.57,-1.77,-1.47,-1.47,-1.52,-1.52,-1.52,-1.42,-1.44,-1.44,-1.14,-1.0,-1.0,-1.06,-1.03,-0.67,-0.96,-0.53,-0.52,-0.57,0.0,0.0,0.36,705,179430,705,179430,179430
11102446,White,1414,1462,-1,22.13,18.0,13.26,12.07,12.07,22.06,150.3,11.44,10.39,7.8,7.8,7.8,8.93,8.75,10.38,9.34,9.34,6.65,6.7,6.7,7.24,7.24,7.24,5.75,5.75,6.79,5.69,5.69,5.78,5.78,5.32,5.28,5.28,5.22,6.08,6.08,4.8,4.8,4.8,5.37,0.89,5.54,1.37,5.24,0.8,0.8,4.87,4.87,4.87,0.91,2.57,1.54,1.16,1.43,0.92,0.92,0.92,3.35,1.63,1.63,1.27,705,179430,705,179430,179430
11107800,Black,1409,1420,1,-2.46,-2.46,-1.22,-1.22,-1.22,-1.67,-1.67,-0.99,-0.99,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,-0.18,-0.18,-0.99,-0.99,-0.34,-0.34,-0.56,-1.84,-1.84,-0.9,-0.9,-0.41,-0.41,0.08,0.08,0.21,0.96,0.96,0.27,0.27,0.27,0.27,0.27,0.0,0.0,0.0,0.0,0.82,0.82,0.74,0.74,0.46,0.46,0.0,0.34,0.34,0.27,0.0,0.34,0.39,0.3,0.13,0.0,0.36,705,179430,705,179430,179430
11288932,Black,1415,1481,-1,-8.38,-8.38,-8.38,-8.38,-6.63,-6.58,-6.58,-6.35,-6.35,-6.35,-6.35,-6.35,-4.48,-4.48,-3.56,-3.56,-3.56,-3.59,-3.92,-3.92,-4.04,-4.04,-4.04,-4.0,-4.0,-5.72,-5.72,-5.72,-5.72,-199.55,-199.55,-8.14,-8.14,-6.67,-6.67,-6.65,-6.35,-4.41,-2.21,-0.84,-0.84,-3.46,-3.91,-0.99,-4.02,-6.15,-5.84,-2.14,-1.0,-1.0,-1.19,-1.57,-0.19,-0.19,-2.05,-2.07,-1.26,-0.14,0.26,-0.1,-0.1,705,179430,705,179430,179430
11299890,Black,1416,1467,-1,1.06,1.06,2.14,2.14,3.15,3.15,3.15,1.9,1.9,1.9,2.57,2.57,2.57,3.32,3.02,3.02,3.02,1.21,0.98,0.98,1.01,1.9,1.82,1.82,1.08,0.27,1.16,0.85,0.56,1.1,1.1,0.68,0.68,0.68,1.12,1.29,0.62,0.75,-0.31,0.41,-0.87,-0.24,-0.41,-0.41,-0.26,-0.21,-2.42,-0.93,0.12,0.14,0.14,-0.2,0.1,0.57,0.0,0.12,0.0,0.0,0.05,0.16,0.0,705,179430,705,179430,179430
11324370,White,1416,1407,-1,0.17,6.6,6.66,6.76,6.58,6.67,6.62,6.62,6.32,5.42,5.4,5.95,6.24,6.24,4.13,4.13,1.81,1.81,1.81,0.11,0.11,1.76,0.04,0.04,1.25,0.1,0.17,0.17,0.79,0.75,0.84,0.84,0.84,0.74,0.74,0.74,0.67,0.87,0.57,0.62,0.56,0.6,0.47,0.47,0.46,0.46,0.18,0.61,0.45,0.62,0.56,0.68,0.49,0.49,0.11,0.47,0.73,0.56,0.28,0.22,0.47,705,179430,705,179430,179430
11330010,Black,1411,1437,-1,-3.99,-3.99,-3.99,-3.99,-4.55,-4.36,-4.62,-3.79,-4.2,-3.78,-4.55,-4.7,-4.7,-3.74,-3.74,-3.74,-4.02,-1.81,-1.81,-4.1,-4.1,-4.1,-4.1,-4.1,-1.13,-1.25,-1.24,-2.6,-2.6,-2.6,-2.56,-2.56,-2.06,-1.98,-1.98,-1.97,-1.97,-2.26,-0.94,-0.28,-0.28,-1.84,-0.33,-0.28,-0.28,-0.38,-0.67,-0.92,-0.92,-1.06,-0.99,-0.99,-1.34,-1.34,-1.73,-1.44,-1.56,-1.36,-1.36,-1.44,-1.8,705,179430,705,179430,179430
11335917,Black,1405,1434,-1,-1.47,-1.47,-1.47,-1.47,-1.34,-1.34,-1.34,-1.17,-1.17,-1.17,-1.17,-1.17,-1.85,-1.71,-1.71,-0.11,-0.11,-1.37,-1.37,-1.25,-0.17,-0.09,-0.09,-0.91,-0.93,-0.14,-0.05,-0.05,-0.05,-0.14,-0.18,-0.18,-0.1,-0.03,-0.23,-0.06,-0.06,-0.06,-0.13,0.0,-0.05,0.0,0.0,-0.53,-0.47,-0.46,-0.51,-0.37,-0.6,-0.47,-0.42,-0.42,-0.28,-0.27,-0.25,-0.28,0.0,0.0,0.0,0.0,0.36,705,179430,705,179430,179430
11374696,Black,1395,1387,-1,-199.55,-199.55,-199.55,-10.32,-10.32,-10.32,-10.32,-8.5,-8.5,-199.55,-8.31,-8.31,-8.31,-199.55,-8.51,-199.55,-8.75,-8.64,-6.57,-6.57,-9.32,-7.9,-199.55,-6.41,-6.41,-7.94,-7.01,-7.08,-6.51,-7.08,-6.05,-6.03,-6.08,-6.38,-5.7,-5.79,-5.79,-6.37,-6.63,-6.63,-6.12,-6.12,-6.01,-0.11,-0.11,-6.6,0.24,0.04,0.04,-0.05,-6.47,-0.11,-0.11,-0.02,-0.36,0.1,-0.01,-0.01,0.02,0.0,0.0,705,179430,705,179430,179430
11397973,White,1397,1500,1,150.3,150.3,150.3,150.3,150.3,150.3,150.3,150.3,150.3,150.3,150.3,150.3,150.3,8.51,8.51,8.51,10.52,8.47,7.45,7.45,7.45,7.7,6.96,6.96,7.78,7.78,4.47,4.47,6.96,6.96,5.42,5.42,5.85,5.75,5.31,5.31,5.31,4.47,4.24,2.7,2.24,2.55,2.03,1.96,1.95,2.03,1.75,1.75,1.75,1.75,2.13,2.13,2.13,2.13,2.17,2.63,1.67,2.46,0.29,1.87,0.36,705,179430,705,179430,179430
11425880,Black,1400,1386,-1,-199.55,-199.55,-8.4,-199.55,-21.18,-28.3,-28.3,-199.55,-199.55,-199.55,-16.84,-16.84,-16.34,-18.57,-16.2,-14.14,-14.35,-11.87,-9.87,-9.49,-9.31,-9.31,-9.76,-9.17,-9.47,-9.58,-9.58,-9.52,-9.8,-9.55,-9.55,-9.59,-9.73,-9.73,-9.93,-9.45,-9.5,-9.5,-9.72,-9.72,-9.43,-9.2,-9.2,-8.27,-8.27,-7.02,-7.02,-4.93,-8.31,-5.33,-4.99,-4.03,-6.41,-4.39,-4.39,-4.07,-0.42,-3.21,-0.4,0.16,0.36,705,179430,705,179430,179430
11446574,White,1395,1393,-1,9.25,9.25,9.25,9.25,9.34,5.01,5.5,5.5,5.61,5.61,0.63,0.63,5.36,5.36,0.55,5.06,5.06,-3.89,0.57,0.57,-0.5,0.48,0.48,-0.31,2.29,-0.41,-0.41,-1.09,-1.09,0.34,0.34,0.92,0.92,0.65,1.04,1.04,0.87,0.22,0.22,0.73,1.05,0.84,0.84,1.99,1.99,1.15,1.53,1.53,1.47,0.56,0.17,0.72,0.75,0.91,0.91,0.46,0.46,0.62,0.04,0.04,0.83,705,179430,705,179430,179430
11466283,Black,1390,1390,1,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-199.55,-14.17,-14.17,-14.17,-14.17,-14.17,-199.55,-199.55,-5.85,-5.85,-5.85,-5.85,-5.6,-5.32,-5.16,-5.11,-5.11,-4.88,-5.16,-5.04,-4.88,-4.99,-5.54,-5.78,-5.79,-5.76,-5.54,-5.51,-5.16,-5.16,-5.46,-5.54,-5.34,-5.36,-5.4,-5.44,-5.48,-5.48,0.0,-5.68,0.18,0.18,-5.06,-0.06,0.01,0.0,0.0,0.19,0.0,0.23,-0.28,0.0,705,179430,705,179430,179430
11474290,White,1396,1411,-1,150.3,150.3,150.3,150.3,150.3,150.3,150.3,150.3,150.3,9.17,9.17,11.29,11.29,7.82,7.65,7.7,7.57,7.21,7.21,7.12,7.12,6.88,7.21,4.99,4.99,5.65,5.67,5.52,5.52,5.4,5.4,5.6,5.6,5.6,5.75,5.65,5.65,5.32,5.32,0.5,0.65,0.65,1.03,1.36,1.36,0.93,1.07,1.2,1.17,1.16,1.09,0.59,0.59,0.65,0.74,1.23,1.23,0.81,0.57,0.06,0.36,705,179430,705,179430,179430
11488402,White,1385,1375,1,14.24,14.24,14.84,16.15,16.15,14.92,14.92,11.86,11.86,11.86,9.69,14.17,14.17,14.17,14.17,14.1,14.32,14.32,8.83,15.16,11.89,11.89,8.51,8.51,8.16,8.16,8.75,8.75,8.75,8.69,9.01,8.07,8.6,8.3,7.5,7.5,7.77,9.15,9.15,6.58,8.23,7.52,2.72,7.61,7.83,7.7,7.7,7.76,6.93,6.93,2.88,2.88,2.88,3.13,2.41,2.28,2.42,2.41,1.99,1.99,1.89,705,179430,705,179430,179430
